"","logFC","logCPM","LR","PValue","FDR"
"lp_3658",-8.24314795862493,12.2420024957235,1269.57360699881,4.62768475002344e-278,1.02364386670519e-274
"lp_3659",-7.96224701452117,11.065817839284,1025.45090588354,5.2750331465933e-225,5.83418666013219e-222
"lp_2702",-7.02530306972426,11.5232557331685,1001.77002079349,7.4050417635629e-220,5.45998412700038e-217
"lp_3660",-8.09601953827337,11.4815752763858,935.806968355325,1.61429473455878e-205,8.92704988211006e-203
"lp_2699",-6.75920033054299,11.3367220515232,899.256025551444,1.42413746708862e-197,6.30038415440004e-195
"lp_2151",-6.05315210180506,11.2149654869761,872.904969924769,7.62174887641881e-192,2.80988475243973e-189
"lp_2153",-6.06912178227799,10.6076813296348,839.393826759964,1.47023841048082e-184,4.64595337711939e-182
"lp_2703",-6.82998932038958,10.7322887835105,833.133148705538,3.37674716487643e-183,9.33670591088333e-181
"lp_2698",-6.78870475699202,11.580655227017,818.324237816675,5.59883679499802e-180,1.37606966561507e-177
"lp_2152",-6.10462769191095,11.1811817615159,782.755738182369,3.02917929375899e-172,6.70054459779488e-170
