"","logFC","logCPM","LR","PValue","FDR"
"lp_3658",-8.14704967403543,11.9891420839775,1060.33331120604,1.3815201370438e-232,3.05592254314088e-229
"lp_3660",-8.4123455949052,11.2967277256117,1047.58121483197,8.16699242654817e-230,9.03269362376228e-227
"lp_3659",-8.15505273037721,10.9933899560292,936.124862876167,1.37682681676282e-205,1.01518030622645e-202
"lp_2152",-6.04464602609983,10.8800841444128,780.952517811559,7.47117398496367e-172,4.13155921368491e-169
"lp_2151",-5.98476731255207,11.10751193405,714.824329871166,1.78691526198278e-157,7.90531311901183e-155
"lp_2154",-5.90333180528327,10.0477975109121,704.247979413395,3.56415905653115e-155,1.31398663884115e-152
"lp_0371",-5.68122031272284,8.56205088554112,645.00620267009,2.7237677984968e-142,8.60710624324988e-140
"lp_2153",-5.92630324546552,10.2633249383066,634.754917332271,4.62036757026001e-140,1.27753163317689e-137
"lp_0262",6.40041884339418,6.67891432685889,556.193297924602,5.65860984664732e-123,1.39076055342043e-120
"lp_2702",-7.08728622685661,10.6053398956416,549.629076666846,1.51593670850228e-121,3.35325199920705e-119
