"","logFC","logCPM","LR","PValue","FDR"
"lp_3658",-8.16500833386574,12.0116421646904,1225.29099564066,1.94494646869188e-268,3.00688724059764e-265
"lp_3660",-8.42976793947143,11.318786080341,1086.60573405632,2.69195718468662e-238,2.08088290376276e-235
"lp_3659",-8.17249633010926,11.0154051269465,929.612906935298,3.58463686635013e-204,1.84728286512576e-201
"lp_2154",-5.92112475008067,10.0700544016535,746.757960561199,2.03394730644659e-164,7.86120633941609e-162
"lp_2151",-6.00272780955856,11.1300156056758,737.460122373879,2.13822293243143e-162,6.61138530707797e-160
"lp_2152",-6.06267315204278,10.902611177433,732.864013851407,2.13520300273385e-161,5.50170640371089e-159
"lp_2153",-5.94435315616309,10.2859099637086,660.371248017077,1.24049863859015e-145,2.73972985037195e-143
"lp_0371",-5.69889585570022,8.58392178287603,596.369824229755,1.03132396741433e-131,1.99303356702819e-129
"lp_0262",6.38181261377901,6.68469662012572,553.79763448725,1.87869135260417e-122,3.22717425680672e-120
"lp_2702",-7.10702347285349,10.6296897018715,523.666963541979,6.74141016675212e-116,1.04222201177988e-113
