"","logFC","logCPM","PValue","FDR"
"lp_3660",8.44437215757764,11.3081438118794,4.71632560677098e-252,1.0441944893391e-248
"lp_3659",8.18691212821085,11.0046485379475,3.83357910548392e-226,2.82918137984713e-223
"lp_3658",8.18150235903459,12.0030239530823,5.47473716019796e-248,6.06053403633914e-245
"lp_2703",7.84267479866458,10.0213443891381,4.14665885873637e-92,5.10039039624573e-90
"lp_3547",7.21097916847086,3.01912201727639,5.5551199874632e-44,2.45980713044871e-42
"lp_2702",7.13303822210319,10.6300710519433,5.06741995531492e-110,8.63020598543634e-108
"lp_2701",6.94018444702041,10.7195336142525,7.69641274479425e-86,8.51992890848724e-84
"lp_3546",6.09622613324776,4.75991917174702,4.53315219754325e-63,2.64115762246336e-61
"lp_2152",6.08072909899679,10.8949947991378,6.60980428646064e-181,3.65852667255597e-178
"lp_2151",6.02076742378631,11.1222916462237,6.17635025772474e-167,2.73488789412052e-164
"lp_2153",5.96307080615197,10.2787685436591,3.62884278595128e-143,1.14775113258516e-140
"lp_2154",5.93824480081956,10.0614762083492,7.96500263895581e-158,2.93908597377469e-155
"lp_0372",5.79665216329416,5.77117781816008,1.86133699288696e-97,2.4241177072069e-95
"lp_0371",5.71510941934067,8.57451921582896,7.12358968304133e-142,1.97145344478169e-139
"lp_2699",5.38858853811088,9.12145629055067,3.78870871559899e-34,1.18143677413185e-32
"lp_3010",5.15466555359993,4.00184092156169,2.13234513155682e-43,9.07886946397463e-42
"lp_2698",5.04809162572659,9.2700241027785,2.37346701882343e-29,6.48747651811737e-28
"lp_3545",4.96914004776104,6.11621450568519,2.01614600614313e-99,2.97583150506726e-97
"lp_0063",4.75069777514456,5.0751240539287,8.99133104120864e-71,6.42155062104384e-69
"lp_2697",4.74261003927471,8.61140142065437,4.45325695222897e-29,1.17375129669464e-27
"lp_0240",4.50329985680752,5.39907718563432,1.57242161504124e-74,1.20046257093149e-72
"lp_0310",4.47799682263235,10.0480864818791,3.20714077781702e-110,5.91717473507241e-108
"lp_3548",4.37408795808091,2.43360406644316,2.19416697090911e-23,4.58291101282336e-22
"lp_0849",4.34333299891032,6.8937081129088,1.45813956864547e-106,2.30594357498648e-104
"lp_2371",4.30626477567738,9.17846741161573,1.74365400340718e-70,1.20639061360734e-68
"lp_0242",4.27784025521574,6.69885795581485,2.73106886472041e-85,2.87932688880524e-83
"lp_3483",4.20017890058253,6.69165847640348,1.38847341176045e-86,1.61793691244086e-84
"lp_2757",4.1173387678647,7.26719239633583,9.34310472026659e-98,1.29285211566689e-95
"lp_3009",4.01449910586081,3.4388530979635,1.04355338350716e-33,3.20892665428453e-32
"lp_2780",3.79114703895997,8.4037519871169,1.62372245265035e-63,9.7160040815348e-62
"lp_1566",3.78832035674581,5.45358243330119,6.211181122563e-58,3.27417976317964e-56
"lp_3313",3.76914997984463,9.59247933136942,3.72726702254023e-84,3.75098599450185e-82
"lp_3314",3.76035173728358,8.583804392238,1.12774086858258e-83,1.04034095126743e-81
"lp_0286",3.74936752706567,9.26368289038348,2.18746757757695e-76,1.72966186312692e-74
"lp_3484",3.69277664206864,5.94541250790153,5.49852143464607e-60,2.96920157470888e-58
"lp_0156",3.65630606520499,4.17458929574861,9.70081814437009e-35,3.20561363755752e-33
"lp_3418",3.57096232061978,7.73114710660911,7.90802310327451e-78,6.4845789446851e-76
"lp_3318",3.50794641436419,9.31938289888675,1.32179685845457e-63,8.34347310221222e-62
"lp_2781",3.49216480301194,8.74134963948309,1.35666229304264e-63,8.34347310221222e-62
"lp_3656",3.46782396053119,3.32452846450418,1.19962148249435e-16,1.72465062483279e-15
"lp_3250",3.41837091259044,6.15235502381283,2.11470531823626e-61,1.20050194219874e-59
"lp_1677",3.39529763014325,7.99938477729294,7.64688169929297e-19,1.29238138032325e-17
"lp_1681",3.38767018475361,8.57611547545496,1.92845073574692e-19,3.38856343566959e-18
"lp_1680",3.37026048321017,8.38683894536034,3.59347955252643e-17,5.4492902255435e-16
"lp_1678",3.36668840682981,9.38059917497404,1.31779255388746e-19,2.33407417144546e-18
"lp_2704",3.3440489257774,8.84881661425162,2.43620314629299e-60,1.34843844147317e-58
"lp_1676",3.33335329815841,8.3378500144456,8.83912191236937e-17,1.27907293555463e-15
"lp_3011",3.3261790021757,3.73529305995937,1.98880687383916e-29,5.50402302334987e-28
"lp_1682",3.30531056004803,8.11373651139037,3.32650930215463e-20,6.13740966247529e-19
"lp_3272",3.29981320748916,5.94796314432272,1.07145528225574e-50,5.04723828705152e-49
"lp_1675",3.2945344132838,9.25363295032894,2.31358731924798e-14,2.86161023732683e-13
"lp_1679",3.28879770972448,8.61881923229546,7.95001921590738e-21,1.53055152556686e-19
"lp_3476",3.28495981473253,4.53802249456,8.62528237173621e-30,2.44825322705435e-28
"lp_1674",3.26433915658432,8.45804747982635,1.09127887826556e-15,1.51005714779997e-14
"lp_3078",3.26114411198262,5.72129202335138,3.51971737390304e-51,1.69405527517855e-49
"lp_3487",3.21859806378218,5.61439935370987,3.08160495696024e-43,1.28729686315282e-41
"lp_0058",3.20590075488178,6.06192683286383,9.65376673291984e-48,4.45279990555927e-46
"lp_1673",3.18855222249825,9.16232460231178,3.33379065077903e-14,4.05550137407954e-13
"lp_1672",3.16845938966597,7.5277056445918,5.23025530450371e-14,6.15946023626128e-13
"lp_0155",3.16697616637343,3.21108744672064,5.06513098124772e-12,5.16783409791818e-11
"lp_3436",3.08330072414388,5.42239606500027,1.55907334865353e-43,6.76821253709592e-42
"lp_2787",3.03414455492894,6.27723631264352,2.5831229421641e-52,1.27089648754474e-50
"lp_3571",3.03006799665485,7.25930039729732,7.48702524751162e-54,3.85494741813738e-52
"lp_3657",3.00696179716112,3.06406069312299,5.78970512737966e-17,8.52432803089901e-16
"lp_3316",2.98377398206741,5.51979323132361,8.12093326132297e-41,3.21066897153019e-39
"lp_0096",2.97345371010715,4.61979753184993,1.53519384737239e-27,3.8624081569119e-26
"lp_0289",2.97170130660645,1.90853355132306,1.31319852821107e-13,1.51428205284339e-12
"lp_1671",2.92372846401393,9.39053518610335,3.59064229856366e-11,3.38284342511487e-10
"lp_1763",2.89677066299285,5.21081880325482,7.94535841518843e-38,2.79222595733765e-36
"lp_3124",2.80692608047359,4.47759318185867,1.51891257035862e-24,3.39684083916564e-23
"lp_0113",2.7852303470869,5.54258767384612,7.50657376063339e-33,2.21594057413898e-31
"lp_2813",2.74934105843844,5.61655892670061,2.09142897601309e-39,7.84817585236098e-38
"lp_2544",2.7387143872215,11.1027855646036,4.82052914934214e-42,1.97641695123028e-40
"lp_1446",2.72917344446297,6.19425167348767,1.39278891954624e-33,4.22415707928133e-32
"lp_0973",2.66714239727935,0.677126521860332,8.04119348500707e-06,4.53007694040856e-05
"lp_1670",2.6442976659822,8.15592358621263,1.70416252551098e-11,1.66212151166577e-10
"lp_2782",2.61976817992245,4.91138952544738,1.90079146555045e-17,2.96362838361175e-16
"lp_3359",2.57814356347364,5.57979360549562,3.01369157056318e-23,6.17806771965452e-22
"lp_1353",2.54054223427337,6.20097349439333,1.45693112739015e-23,3.10158222696327e-22
