ORF	start	stop	orientation	name	function	class	subclass	EC	LocateP Subcellular Localization Prediction				
lp_0001	1	1365	+	dnaA	chromosomal replication initiation protein DnaA	DNA metabolism	DNA replication recombination, and repair		@Intracellular				
lp_0002	1546	2682	+	dnaN	DNA-directed DNA polymerase III, beta chain	DNA metabolism	DNA replication recombination, and repair	2.7.7.7	@Intracellular				
lp_0004	3210	3440	+	lp_0004	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0005	3444	4565	+	recF	DNA repair and genetic recombination protein RecF	DNA metabolism	DNA replication recombination, and repair		@Intracellular				
lp_0006	4565	6508	+	gyrB	DNA gyrase, B subunit	DNA metabolism	DNA replication recombination, and repair	5.99.1.3	@Intracellular				
lp_0007	6676	9234	+	gyrA	DNA gyrase, A subunit	DNA metabolism	DNA replication recombination, and repair	5.99.1.3	@Intracellular				
lp_0009	9860	10156	+	rpsF	ribosomal protein S6	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_0010	10196	10795	+	ssb	single-strand binding protein	DNA metabolism	DNA replication recombination, and repair		@Intracellular				
lp_0011	10837	11070	+	rpsR	ribosomal protein S18	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_0012	11254	13263	+	lp_0012	phosphoesterase, DHH family	DNA metabolism	DNA replication recombination, and repair		@Multi-transmembrane				
lp_0013	13279	13728	+	rplI	ribosomal protein L9	Protein synthesis	Ribosomal proteins: synthesis		@Intracellular				
lp_0014	13747	15168	+	dnaC	replicative DNA helicase DnaC	DNA metabolism	DNA replication recombination, and repair	3.6.1.-	@Intracellular				
lp_0015	15393	16613	+	lp_0015	transport protein	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_0016	16629	17432	+	proB	glutamate 5-kinase	Amino acid biosynthesis	Glutamate family	2.7.2.11	@Intracellular				
lp_0017	17454	18689	+	proA	glutamate-5-semialdehyde dehydrogenase	Amino acid biosynthesis	Glutamate family	1.2.1.41	@Intracellular				
lp_0018	19153	20766	+	lp_0018	ABC transporter, substrate binding protein, oligopeptide	Transport and binding proteins	Amino acids, peptides and amines		@Lipid anchored				
lp_0020	21099	23000	+	glgB	1,4-alpha-glucan branching enzyme	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	2.4.1.18	@Intracellular				
lp_0021	22993	24129	+	glgC	glucose-1-P adenylyltransferase, enzymatic subunit	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	2.7.7.27	@Intracellular				
lp_0022	24129	25298	+	glgD	glucose-1-P adenylyltransferase, regulatory subunit	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides		@Intracellular				
lp_0023	25294	26730	+	glgA	glycogen synthase, ADP-glucose transglycosylase	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	2.4.1.21	@Intracellular				
lp_0024	26753	29146	+	glgP	glycogen phosphorylase	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	2.4.1.1	@Intracellular				
lp_0025	29167	30981	+	malZ	maltodextrin glucosidase	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	3.2.1.20	@Intracellular				
lp_0026	31317	32081	+	lp_0026	hydrolase, HAD superfamily, Cof family	Hypothetical proteins	Conserved: putative function		@Intracellular				
